asset;date;open;high;low;close;business;volume
WDOFUT;25/02/2021;5672,49;5782,05;5653,71;5775,78;2,426922112E11;4429427
WDOFUT;24/02/2021;5652,66;5680,31;5625,01;5639,62;1,796267597E11;3313465
WDOFUT;23/02/2021;5689,18;5722,57;5643,79;5678,75;2,000188923E11;3672162
WDOFUT;22/02/2021;5749,18;5775,78;5668,84;5704,31;1,994637455E11;3631293
WDOFUT;19/02/2021;5699,62;5709,53;5603,10;5616,67;1,943811417E11;3596534
WDOFUT;18/02/2021;5626,58;5692,31;5622,40;5667,27;1,733542157E11;3194668
WDOFUT;17/02/2021;5664,66;5671,44;5626,06;5649,01;8,650754877E10;1597930
WDOFUT;12/02/2021;5639,62;5650,05;5589,54;5606,23;1,624519825E11;3016168
WDOFUT;11/02/2021;5607,27;5649,01;5568,15;5603,62;1,815880351E11;3379439
WDOFUT;10/02/2021;5616,67;5675,62;5584,32;5625,01;1,950825329E11;3616370
WDOFUT;09/02/2021;5596,84;5687,10;5586,93;5616,67;2,087505591E11;3861567
WDOFUT;08/02/2021;5634,40;5659,44;5538,41;5604,14;2,061969262E11;3840539
WDOFUT;05/02/2021;5646,92;5695,96;5579,62;5608,32;1,892344261E11;3508347
WDOFUT;04/02/2021;5608,32;5697,01;5591,62;5665,71;1,867084384E11;3453247
WDOFUT;03/02/2021;5598,93;5631,79;5554,58;5589,01;1,929952295E11;3602273
WDOFUT;02/02/2021;5634,92;5659,44;5578,58;5604,67;1,853939049E11;3444405
WDOFUT;01/02/2021;5673,53;5727,27;5657,36;5671,44;1,72783455E11;3165635
WDOFUT;29/01/2021;5657,36;5748,13;5656,31;5702,75;1,850540452E11;3380521
WDOFUT;28/01/2021;5669,87;5706,42;5629,15;5682,40;2,100793956E11;3871664
WDOFUT;27/01/2021;5608,79;5659,43;5586,34;5654,21;2,261278728E11;4196543
WDOFUT;26/01/2021;5712,68;5721,03;5548,22;5592,60;2,193190011E11;4071849
WDOFUT;22/01/2021;5643,77;5731,48;5634,89;5711,11;1,672545029E11;3073426
WDOFUT;21/01/2021;5480,87;5640,11;5463,65;5589,47;2,033875713E11;3817467
WDOFUT;20/01/2021;5573,81;5594,69;5517,42;5527,86;1,778637623E11;3347727
WDOFUT;19/01/2021;5503,32;5608,26;5473,56;5599,39;1,884525591E11;3549781
WDOFUT;18/01/2021;5548,22;5559,71;5469,39;5536,22;1,511048473E11;2858924
WDOFUT;15/01/2021;5475,65;5547,18;5456,86;5528,38;1,799952678E11;3414555
WDOFUT;14/01/2021;5530,99;5539,35;5423,44;5428,67;1,935816187E11;3688306
WDOFUT;13/01/2021;5587,90;5594,69;5506,46;5537,26;2,180924382E11;4102363
WDOFUT;12/01/2021;5716,86;5740,87;5550,31;5564,93;2,14863174E11;3959501
WDOFUT;11/01/2021;5698,06;5763,85;5693,89;5731,48;1,939071054E11;3528252
WDOFUT;08/01/2021;5625,49;5685,01;5560,75;5662,04;2,124116707E11;3945023
WDOFUT;07/01/2021;5581,64;5663,08;5537,78;5660,47;2,130556387E11;3971136
WDOFUT;06/01/2021;5505,41;5600,95;5468,34;5557,10;2,346523102E11;4425607
WDOFUT;05/01/2021;5524,21;5595,21;5489,23;5528,91;2,080242824E11;3915982
WDOFUT;04/01/2021;5357,66;5536,74;5348,26;5536,74;1,986758328E11;3816894
WDOFUT;30/12/2020;5418,22;5468,87;5381,16;5432,32;1,210339977E11;2332094
WDOFUT;29/12/2020;5458,43;5478,27;5391,59;5444,85;1,613323783E11;3104727
WDOFUT;28/12/2020;5409,34;5546,14;5392,11;5469,91;1,917369899E11;3654587
WDOFUT;23/12/2020;5373,84;5451,12;5356,09;5451,12;1,437086573E11;2774156
WDOFUT;22/12/2020;5363,40;5400,47;5335,20;5387,94;1,42373175E11;2766173
WDOFUT;21/12/2020;5433,36;5455,81;5337,81;5345,12;1,69423442E11;3284221
